timestamp,src_ip,session,url,outfile,shasum,eventid
2026-09-13 21:17:41.184327+00:00,160.119.66.206,a4909a5b71c8,http://160.119.66.206/bins/kla.sh,/home/cowrie/cowrie/dl/39be6853a8204ce6455a373a6ffb4cb4672d4a62d90be69f7d6eeb66cda10b96,39be6853a8204ce6455a373a6ffb4cb4672d4a62d90be69f7d6eeb66cda10b96,cowrie.session.file_download
2026-09-13 21:17:41.200220+00:00,160.119.66.206,a4909a5b71c8,http://160.119.66.206/bins/kla.sh,,,cowrie.session.file_download.failed
2026-09-13 21:17:41.395054+00:00,160.119.66.206,33d251c500b7,http://160.119.66.206/bins/kla.sh,/home/cowrie/cowrie/dl/39be6853a8204ce6455a373a6ffb4cb4672d4a62d90be69f7d6eeb66cda10b96,39be6853a8204ce6455a373a6ffb4cb4672d4a62d90be69f7d6eeb66cda10b96,cowrie.session.file_download
2026-09-13 21:17:41.484262+00:00,160.119.66.206,33d251c500b7,http://160.119.66.206/bins/kla.sh,/home/cowrie/cowrie/dl/39be6853a8204ce6455a373a6ffb4cb4672d4a62d90be69f7d6eeb66cda10b96,39be6853a8204ce6455a373a6ffb4cb4672d4a62d90be69f7d6eeb66cda10b96,cowrie.session.file_download
2026-09-13 21:17:41.500269+00:00,160.119.66.206,33d251c500b7,http://160.119.66.206/bins/kla.sh,,,cowrie.session.file_download.failed
2026-09-14 10:25:50.773372+00:00,160.119.66.206,1036d37c95cd,http://160.119.66.206/bins/kla.sh,/home/cowrie/cowrie/dl/39be6853a8204ce6455a373a6ffb4cb4672d4a62d90be69f7d6eeb66cda10b96,39be6853a8204ce6455a373a6ffb4cb4672d4a62d90be69f7d6eeb66cda10b96,cowrie.session.file_download
2026-09-14 10:25:50.890050+00:00,160.119.66.206,1036d37c95cd,http://160.119.66.206/bins/kla.sh,/home/cowrie/cowrie/dl/39be6853a8204ce6455a373a6ffb4cb4672d4a62d90be69f7d6eeb66cda10b96,39be6853a8204ce6455a373a6ffb4cb4672d4a62d90be69f7d6eeb66cda10b96,cowrie.session.file_download
2026-09-14 10:25:50.910793+00:00,160.119.66.206,1036d37c95cd,http://160.119.66.206/bins/kla.sh,,,cowrie.session.file_download.failed
2026-09-14 10:25:51.094530+00:00,160.119.66.206,f2a98732f8a0,http://160.119.66.206/bins/kla.sh,/home/cowrie/cowrie/dl/39be6853a8204ce6455a373a6ffb4cb4672d4a62d90be69f7d6eeb66cda10b96,39be6853a8204ce6455a373a6ffb4cb4672d4a62d90be69f7d6eeb66cda10b96,cowrie.session.file_download
2026-09-14 10:25:51.185733+00:00,160.119.66.206,f2a98732f8a0,http://160.119.66.206/bins/kla.sh,/home/cowrie/cowrie/dl/39be6853a8204ce6455a373a6ffb4cb4672d4a62d90be69f7d6eeb66cda10b96,39be6853a8204ce6455a373a6ffb4cb4672d4a62d90be69f7d6eeb66cda10b96,cowrie.session.file_download
